"Kod";"Nazwa";"ogółem;2014;[%]";"ogółem;2015;[%]";"ogółem;2016;[%]";"ogółem;2017;[%]";"ogółem;2018;[%]";"ogółem;2019;[%]";"ogółem;2020;[%]";"ogółem;2021;[%]";"ogółem;2022;[%]";"ogółem;2023;[%]";"ogółem;2024;[%]";"ogółem;2025;[%]";
0000000;"POLSKA";7,5;6,5;5,6;4,6;4,2;3,8;4,6;4,0;3,7;3,6;3,6;4,1;
0200000;"DOLNOŚLĄSKIE";6,6;5,5;4,8;3,9;3,6;3,2;4,0;3,4;3,2;3,1;3,3;3,8;
0201000;"Powiat bolesławiecki";4,9;4,2;3,3;2,5;2,3;2,4;3,6;3,0;1,9;1,7;1,9;2,4;
0201011;"Bolesławiec (1)";4,8;4,1;3,2;2,4;2,2;2,3;3,6;2,9;1,9;1,8;2,1;2,6;
0201022;"Bolesławiec (2)";4,8;3,9;2,9;2,2;2,2;2,1;3,1;2,7;1,6;1,5;1,7;2,3;
0201032;"Gromadka (2)";5,5;5,3;4,6;2,7;2,7;2,3;3,8;4,1;2,3;1,5;2,0;1,8;
0201043;"Nowogrodziec (3)";4,1;3,8;3,1;2,5;2,2;2,4;3,7;2,8;1,8;1,7;1,4;1,8;
0201044;"Nowogrodziec - miasto (4)";0,0;0,0;0,0;0,0;0,0;2,3;3,3;2,4;1,6;1,9;1,4;2,1;
0201045;"Nowogrodziec - obszar wiejski (5)";0,0;0,0;0,0;0,0;0,0;2,5;3,9;3,0;1,8;1,7;1,4;1,7;
0201052;"Osiecznica (2)";5,2;4,7;3,6;3,0;2,8;2,9;3,8;3,3;2,1;2,0;1,9;2,3;
0201062;"Warta Bolesławiecka (2)";5,5;4,1;3,5;2,6;2,4;2,5;3,9;3,3;2,1;2,0;2,1;2,9;
0202000;"Powiat dzierżoniowski";7,3;5,3;4,5;3,4;2,9;2,5;3,4;2,7;2,8;3,0;3,3;4,0;
0202011;"Bielawa (1)";6,6;4,7;4,0;2,6;2,2;1,9;2,6;2,3;2,6;2,7;3,1;3,9;
0202021;"Dzierżoniów (1)";7,1;5,4;4,6;3,7;2,9;2,7;3,8;2,9;2,8;2,9;3,3;4,1;
0202031;"Pieszyce (1)";8,4;6,0;;;;;;;;;;;
0202033;"Pieszyce (3)";;;4,7;3,5;3,4;2,7;3,8;2,7;2,8;3,1;3,4;4,2;
0202034;"Pieszyce - miasto (4)";;;0,0;0,0;0,0;3,1;4,2;2,9;3,0;3,4;3,7;4,4;
0202035;"Pieszyce - obszar wiejski (5)";;;0,0;0,0;0,0;1,3;2,4;1,9;2,1;2,4;2,4;3,4;
0202041;"Piława Górna (1)";9,5;6,9;5,8;4,5;3,7;3,4;4,6;3,6;4,0;4,0;4,2;4,8;
0202052;"Dzierżoniów (2)";8,3;6,2;5,2;4,0;3,3;2,6;3,6;2,9;2,6;3,4;3,3;3,8;
0202062;"Łagiewniki (2)";6,0;4,1;3,5;2,9;2,7;2,2;2,8;2,5;2,5;3,0;3,0;3,2;
